1521560131746,metadata_log_format,wifi-ble-imu-cell collection
1521560131747,metadata_system_time,1521560131747
1521560131747,metadata_surveyName,/storage/emulated/0/FIND-IT/log.csv
1521560131747,metadata_notes,new collection
1521560131747,metadata_deviceInfo,Boardmsm8952Brand,LenovoDevice,PB2PROHardware,qcomManufacturer,LENOVOModel,Lenovo PB2-690MProduct,phinny_row
83698196154216,rotVectorMagnetic,GeoMagnetic Rotation Vector -Wakeup Secondary,0.046199158,-0.10963317,-0.93870693,0.32353595,0.5235988,3
83698196356456,compass,AK09911 Magnetometer -Wakeup Secondary,-10.346985,-24.816895,-34.573364,1
83698247133800,gyro,BMI160 Gyroscope -Wakeup Secondary,-0.025863647,-2.4414063E-4,-0.005065918,3
83698247422862,orientation,Orientation,143.49225,-13.796477,-1.2478584,1
83698247561248,linAccel,Linear Acceleration,-0.09414774,0.015668154,-0.13581085,3
83698247697914,rotVectorGyro,Game Rotation Vector,0.07736911,0.09249167,0.7003348,0.70355564,3
83698247851456,rotVectorMagnetic,GeoMagnetic Rotation Vector -Wakeup Secondary,0.04699857,-0.10924652,-0.9383817,0.32449377,0.5235988,3
83698248120154,compass,AK09911 Magnetometer -Wakeup Secondary,-10.321045,-26.287842,-35.26764,1
83698248257081,accel,BMI160 Accelerometer -Wakeup Secondary,-0.30633545,2.3386688,9.324265,3
83698248425987,rotVectorAll,Rotation Vector,0.047884993,-0.1106694,-0.9431571,0.30969998,0.5235988,3
83698299490466,gyro,BMI160 Gyroscope -Wakeup Secondary,-0.04611206,-0.005569458,-0.024246216,3
83698299841560,linAccel,Linear Acceleration,-0.03348221,-0.08521891,0.18219662,3
83698300304164,orientation,Orientation -Wakeup Secondary,143.62518,-13.609081,-1.2385141,1
83698300506977,rotVectorMagnetic,GeoMagnetic Rotation Vector -Wakeup Secondary,0.047677234,-0.10867165,-0.93818116,0.32516688,0.5235988,3
83698300820102,compass,AK09911 Magnetometer -Wakeup Secondary,-10.339355,-24.829102,-35.282898,1
83698301058904,accel,BMI160 Accelerometer -Wakeup Secondary,-0.24409485,2.2069855,9.650467,3
83698301253904,rotVectorGyro,Game Rotation Vector -Wakeup Secondary,0.07633193,0.091242045,0.7000591,0.7041062,3
83698301530623,rotVectorAll,Rotation Vector,0.047174975,-0.109207116,-0.9436932,0.30869302,0.5235988,3
83698352170831,gyro,BMI160 Gyroscope -Wakeup Secondary,0.019943237,0.04449463,0.027954102,3
83698352510206,linAccel,Linear Acceleration,-0.059595272,0.0028102398,-0.23431015,3
83698352702550,orientation,Orientation -Wakeup Secondary,143.63934,-13.560483,-1.3659943,1
83698353108852,rotVectorMagnetic,GeoMagnetic Rotation Vector,0.04736608,-0.107548945,-0.9386997,0.32408723,0.5235988,3
