user,label,collection_datetime,device_timestamp,orient_x,orient_y,orient_z
ugur,1,2018-03-29 22:04:55,1336885188238,78.85635,-11.190351,1.4221952
ugur,1,2018-03-29 22:04:55,1336831056884,78.76929,-11.6045685,1.458859
ugur,1,2018-03-29 22:04:55,1336777908967,78.53897,-11.7636,1.1432327
ugur,1,2018-03-29 22:04:55,1336725077717,79.07599,-11.514844,1.557557
ugur,1,2018-03-29 22:04:55,1336673081676,79.72714,-11.404279,1.9842763
ugur,1,2018-03-29 22:04:55,1336616902717,80.4996,-11.162137,1.1789055
ugur,1,2018-03-29 22:04:55,1336562633499,81.47015,-10.835258,-0.26514333
ugur,1,2018-03-29 22:04:55,1336507320582,82.6712,-10.090736,-0.088351525
ugur,1,2018-03-29 22:04:55,1336453898603,82.6969,-10.720618,1.1146808
ugur,1,2018-03-29 22:04:55,1336397176259,82.67767,-11.551193,1.5524632
ugur,1,2018-03-29 22:04:55,1336342887613,83.8656,-10.473636,1.2811464
ugur,1,2018-03-29 22:04:55,1336290760738,85.14209,-9.526613,1.8094761
ugur,1,2018-03-29 22:04:55,1336237064749,85.451385,-9.391797,2.1565547
ugur,1,2018-03-29 22:04:55,1336184984332,85.026,-9.392471,2.5974548
ugur,1,2018-03-29 22:04:55,1336133258811,84.35278,-8.684163,3.4052494
ugur,1,2018-03-29 22:04:55,1336077651415,83.35318,-7.890579,4.1808963
ugur,1,2018-03-29 22:04:55,1336025113395,82.17206,-7.60516,5.0785713
ugur,1,2018-03-29 22:04:55,1335972724072,81.11578,-6.9350424,4.941351
ugur,1,2018-03-29 22:04:55,1335918701728,81.398834,-5.663933,5.2009106
ugur,1,2018-03-29 22:04:55,1335865128811,80.56329,-6.0996795,5.417457
ugur,1,2018-03-29 22:04:55,1335811923238,79.08658,-7.8922944,4.779827
ugur,1,2018-03-29 22:04:55,1335758153343,78.61725,-8.193502,4.062027
ugur,1,2018-03-29 22:04:55,1335705608499,78.19263,-8.112307,2.7757273
ugur,1,2018-03-29 22:04:55,1335652817405,77.90326,-8.253894,2.4696524
ugur,1,2018-03-29 22:04:55,1335593684020,77.90869,-8.21337,1.6693838
ugur,1,2018-03-29 22:04:55,1335540327457,78.761475,-7.812485,1.3938378
