user,label,collection_datetime,device_timestamp,linaccel_x,linaccel_y,linaccel_z
ugur,1,2018-03-23 10:34:21,237971312882631,0.67926073,-0.78607875,0.43570614
ugur,1,2018-03-23 10:34:21,237971254571555,1.9302464,-0.24522066,-1.5431547
ugur,1,2018-03-23 10:34:21,237971195074362,-0.23408216,0.013724446,3.1804543
ugur,1,2018-03-23 10:34:21,237971136910901,0.3752712,-0.2939856,5.3858185
ugur,1,2018-03-23 10:34:21,237971079155170,0.25562048,0.36015737,0.45699883
ugur,1,2018-03-23 10:34:21,237971020334209,-0.6513413,-0.06653738,1.5914631
ugur,1,2018-03-23 10:34:21,237970960965170,-0.6587543,0.43038046,-2.0012727
ugur,1,2018-03-23 10:34:21,237970901479824,-0.4299982,-0.29533815,-1.5554695
ugur,1,2018-03-23 10:34:21,237970839782670,0.27458274,-0.40727842,-3.824966
ugur,1,2018-03-23 10:34:21,237970779950016,-0.36172011,-0.72537994,-2.3030229
ugur,1,2018-03-23 10:34:21,237970720605286,0.11335912,-1.0172553,-1.2323484
ugur,1,2018-03-23 10:34:21,237970660426055,0.36298844,-1.106492,0.8199539
ugur,1,2018-03-23 10:34:21,237970601049786,-0.2883102,-0.7145395,0.43699074
ugur,1,2018-03-23 10:34:21,237970541727786,-0.4725001,-0.2577958,4.1977463
ugur,1,2018-03-23 10:34:21,237970483558632,1.6566288,0.14065695,2.7223349
ugur,1,2018-03-23 10:34:21,237970425279055,-0.0017565787,0.9247701,1.548708
ugur,1,2018-03-23 10:34:21,237970365357094,-0.58875275,0.6899152,0.69177055
ugur,1,2018-03-23 10:34:21,237970304536824,-0.49620804,0.3640132,-1.9455252
ugur,1,2018-03-23 10:34:21,237970244612017,-0.6260021,0.24042928,-3.945106
ugur,1,2018-03-23 10:34:21,237970184522978,-0.36008596,-0.043154478,-4.1762724
ugur,1,2018-03-23 10:34:21,237970124394286,-0.43458354,-0.66579425,-1.5076303
ugur,1,2018-03-23 10:34:21,237970064617325,1.0232718,-0.9514673,1.2100325
ugur,1,2018-03-23 10:34:21,237970004768594,1.3944508,-0.27244186,-0.9640455
ugur,1,2018-03-23 10:34:21,237969944635786,-1.0246898,-0.8138823,7.039588
ugur,1,2018-03-23 10:34:21,237969886950286,1.1020665,0.012912989,2.6597767
ugur,1,2018-03-23 10:34:21,237969828376632,-0.46831283,0.009517789,3.4239626
ugur,1,2018-03-23 10:34:21,237969767946056,-0.22204044,0.40611756,-0.8078451
ugur,1,2018-03-23 10:34:21,237969708110248,-0.06408608,0.09873152,-1.7173781
ugur,1,2018-03-23 10:34:21,237969648374094,0.009070754,-0.1278795,-2.7487078
