user,label,collection_datetime,device_timestamp,accel_x,accel_y,accel_z
ugur,1,2018-03-23 10:34:21,238081981356860,0.1604115,1.4628572,9.727641
ugur,1,2018-03-23 10:34:21,238081925275437,0.23702596,1.5466543,9.325416
ugur,1,2018-03-23 10:34:21,238081867665399,0.2633622,1.4987702,9.603143
ugur,1,2018-03-23 10:34:21,238081806934129,0.30406362,1.436521,9.344569
ugur,1,2018-03-23 10:34:21,238081746804514,0.22505496,1.5346833,9.461885
ugur,1,2018-03-23 10:34:21,238081687413514,0.14844051,1.4197617,9.595961
ugur,1,2018-03-23 10:34:21,238081627763091,0.12210429,1.3311762,9.801862
ugur,1,2018-03-23 10:34:21,238081568285591,0.31364042,1.5131354,9.313444
ugur,1,2018-03-23 10:34:21,238081508962014,0.20111294,1.5035586,9.433155
ugur,1,2018-03-23 10:34:21,238081449649437,0.25857377,1.5562311,9.579201
ugur,1,2018-03-23 10:34:21,238081389363168,0.18914193,1.5275006,9.370906
ugur,1,2018-03-23 10:34:21,238081326951937,0.22026655,1.5562311,9.801862
ugur,1,2018-03-23 10:34:21,238081266405053,0.16280572,1.520318,9.3182335
ugur,1,2018-03-23 10:34:21,238081206626668,0.18674773,1.4532804,9.794679
ugur,1,2018-03-23 10:34:21,238081145559284,0.33758244,1.5298948,9.555259
ugur,1,2018-03-23 10:34:21,238081085319668,0.25857377,1.5107412,9.701305
ugur,1,2018-03-23 10:34:21,238081025578014,0.2777274,1.5705963,9.751583
ugur,1,2018-03-23 10:34:21,238080966067861,0.23223756,1.5562311,9.627085
ugur,1,2018-03-23 10:34:21,238080905651553,0.1604115,1.6208745,9.346964
ugur,1,2018-03-23 10:34:21,238080845146822,0.08619126,1.4820108,9.646238
ugur,1,2018-03-23 10:34:21,238080785695207,0.1340753,1.5849615,9.3661175
ugur,1,2018-03-23 10:34:21,238080726300284,0.16280572,1.6136919,9.646238
ugur,1,2018-03-23 10:34:21,238080666896092,0.093373865,1.3263878,9.289502
ugur,1,2018-03-23 10:34:21,238080607920361,-0.009576807,1.5394717,9.507375
ugur,1,2018-03-23 10:34:21,238080548967361,0.055066638,1.5155296,9.339781
ugur,1,2018-03-23 10:34:21,238080494466246,0.24181437,1.6112977,9.358934
ugur,1,2018-03-23 10:34:21,238080440957592,0.10534488,1.5227122,9.85214
ugur,1,2018-03-23 10:34:21,238080386791861,0.079008654,1.460463,9.7084875
ugur,1,2018-03-23 10:34:21,238080332482207,0.18674773,1.4820108,9.562442
ugur,1,2018-03-23 10:34:21,238080278469553,-0.011971008,1.532289,9.382876
ugur,1,2018-03-23 10:34:21,238080223587515,-0.05267244,1.5729905,9.555259
ugur,1,2018-03-23 10:34:21,238080163055707,-0.095768064,1.4293385,9.703699
ugur,1,2018-03-23 10:34:21,238080098992323,0.055066638,1.3934253,9.3733
ugur,1,2018-03-23 10:34:21,238080039619438,0.095768064,1.2593501,9.909601
ugur,1,2018-03-23 10:34:21,238079977958823,0.24660277,1.436521,9.696517
ugur,1,2018-03-23 10:34:21,238079918451746,0.045489833,1.3623008,9.749189
ugur,1,2018-03-23 10:34:21,238079858434785,0.1340753,1.3599066,9.244013
ugur,1,2018-03-23 10:34:21,238079798976631,0.035913024,1.5227122,9.485827
ugur,1,2018-03-23 10:34:21,238079739542362,-0.10295067,1.3599066,9.581595
ugur,1,2018-03-23 10:34:21,238079680345785,-0.08619126,1.376666,9.241618
ugur,1,2018-03-23 10:34:21,238079620463169,-0.15801731,1.3479356,9.524135
ugur,1,2018-03-23 10:34:21,238079559515977,-0.15322891,1.1803415,9.940725
ugur,1,2018-03-23 10:34:21,238079499365746,-0.050278235,1.4101849,9.349358
ugur,1,2018-03-23 10:34:21,238079439218939,-0.095768064,1.3263878,8.815451
ugur,1,2018-03-23 10:34:21,238079379371939,0.08379706,1.6041151,9.437943
ugur,1,2018-03-23 10:34:21,238079321543016,0.37110126,1.3623008,10.213664
ugur,1,2018-03-23 10:34:21,238079261232823,0.24660277,1.4508862,9.32781
ugur,1,2018-03-23 10:34:21,238079201897477,0.22266077,1.5275006,9.715671
ugur,1,2018-03-23 10:34:21,238079141726554,0.36870706,1.5035586,9.813833
ugur,1,2018-03-23 10:34:21,238079082236631,0.10295067,1.9752164,9.31105
ugur,1,2018-03-23 10:34:21,238079022270939,0.59136784,1.661576,9.059659
ugur,1,2018-03-23 10:34:21,238078961991131,0.36391866,1.4508862,9.435549
